Left Hand
==============
     JOINT_RING_JT1)	X: 0.024445 Y: 0.045386 Z: 0.240397 282.488495 152.970078
     JOINT_RING_JT2)	X: 0.021889 Y: 0.066583 Z: 0.235089 287.150085 109.824448
     JOINT_RING_TIP)	X: 0.019567 Y: 0.085852 Z: 0.230263 291.597778 68.658539
     JOINT_PINKY_BASE)	X: 0.005678 Y: -0.008830 Z: 0.256118 318.341339 255.265198
     JOINT_PINKY_JT1)	X: -0.006604 Y: 0.025698 Z: 0.251021 339.020294 193.423843
     JOINT_PINKY_JT2)	X: -0.012247 Y: 0.041562 Z: 0.248679 353.247803 176.312241
     JOINT_PINKY_TIP)	X: -0.013045 Y: 0.051029 Z: 0.260287 357.996155 186.929810
Left Hand
==============
     JOINT_WRIST)	X: 0.024159 Y: -0.076158 Z: 0.267017 287.723206 374.191498
     JOINT_CENTER)	X: 0.025590 Y: -0.034691 Z: 0.260505 284.878998 304.696838
     JOINT_THUMB_BASE)	X: 0.043662 Y: -0.068216 Z: 0.263818 253.605560 360.855072
     JOINT_THUMB_JT1)	X: 0.080535 Y: -0.077158 Z: 0.265929 192.831497 391.862823
     JOINT_THUMB_JT2)	X: 0.103675 Y: -0.082288 Z: 0.288166 168.514557 376.709564
     JOINT_THUMB_TIP)	X: 0.123596 Y: -0.080368 Z: 0.296810 134.173004 378.538940
     JOINT_INDEX_BASE)	X: 0.051965 Y: 0.003809 Z: 0.251918 236.164185 235.863831
     JOINT_INDEX_JT1)	X: 0.045174 Y: 0.045156 Z: 0.238490 245.544907 155.356049
     JOINT_INDEX_JT2)	X: 0.041778 Y: 0.065830 Z: 0.231776 248.457886 114.509033
     JOINT_INDEX_TIP)	X: 0.038691 Y: 0.084624 Z: 0.225673 249.196091 78.711319
     JOINT_MIDDLE_BASE)	X: 0.026953 Y: 0.004802 Z: 0.254303 282.021667 234.881729
     JOINT_MIDDLE_JT1)	X: 0.023692 Y: 0.050462 Z: 0.239864 285.851196 146.374023
